Model,MSE,R2
Linear Regression,0.0033919053764216076,0.25108007229598583
Decision Tree,0.007883963333333332,-0.7407494002235941
Random Forest,0.003655472151000001,0.1928855214884767
Gradient Boosting,0.0036711213658299747,0.18943023381431023
